capture_id,service_date,service_date_source,service_date_conflict,source_path,feed_timestamp,entity_id,trip_id,route_id,schedule_relationship,start_date,start_time,stop_time_update_count,missing_stop_sequence_count,first_stop_id,last_stop_id,first_station,last_station,origin_event_time,is_numeric_600_799_entity,is_numeric_600_799_trip,has_route_id,static_trip_exists,static_line,static_terminal,ends_before_static_terminal,has_partial_stop_list,origin_prediction_stale,duplicate_trip_id_in_feed,association_status,association_confidence,association_method,association_evidence,candidate_trip_ids,candidate_entity_ids,rejected_candidate_ids,static_identity_status,counterpart_status
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,676,676,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-11T23:26:29+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""1965155"",""1965198"",""1965156"",""1965271"",""1965272"",""1965273"",""1965274"",""1965275""]",[],no_static_counterpart,observed_candidate
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,678,678,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-11T23:46:29+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""1965156"",""1965199"",""1965157"",""1965276""]",[],no_static_counterpart,observed_candidate
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,680,680,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T00:06:29+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""1965157""]",[],no_static_counterpart,observed_candidate
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,682,682,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T00:26:29+00:00,True,True,False,False,,,False,False,False,False,required_counterpart_not_observed,low,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],[],[],no_static_counterpart,required_not_observed
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,683,683,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-11T23:28:03+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""1965155"",""1965198"",""1965156"",""1965271"",""1965272"",""1965273"",""1965274"",""1965275""]",[],no_static_counterpart,observed_candidate
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,684,684,,SCHEDULED,,,1,1,E20-1,E20-1,PCTR,PCTR,2026-09-12T00:46:29+00:00,True,True,False,False,,,False,False,False,False,required_counterpart_not_observed,low,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],[],[],no_static_counterpart,required_not_observed
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,685,685,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-11T23:48:03+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""1965156"",""1965199"",""1965157"",""1965276""]",[],no_static_counterpart,observed_candidate
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,687,687,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T00:08:03+00:00,True,True,False,False,,,False,False,False,False,operational_telemetry,medium,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],"[""1965157""]",[],no_static_counterpart,observed_candidate
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,689,689,,SCHEDULED,,,2,2,E30-2,E20-2,ANTC,PCTR,2026-09-12T00:28:03+00:00,True,True,False,False,,,False,False,False,False,required_counterpart_not_observed,low,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],[],[],no_static_counterpart,required_not_observed
bart_live_20260911_161720,2026-09-11,capture_local_date_fallback,False,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720\trip_updates.pb,2026-09-11T23:17:20+00:00,691,691,,SCHEDULED,,,1,1,E30-2,E30-2,ANTC,ANTC,2026-09-12T00:48:03+00:00,True,True,False,False,,,False,False,False,False,required_counterpart_not_observed,low,bart_to_antioch_numeric_namespace_with_same_capture_counterpart_check,"[""numeric_600_799_namespace"",""BART note: BART-to-Antioch trip IDs are not coordinated with schedule trip IDs"",""mandatory electric transfer north of PITT""]",[],[],[],no_static_counterpart,required_not_observed
