capture_id,entity_id,trip_id,service_date,association_status,association_confidence,association_method,association_evidence,candidate_trip_ids,candidate_entity_ids,rejected_candidate_ids,static_identity_status,counterpart_status
bart_live_20260911_161720,1965520,1965520,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965520""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965561,1965561,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965561""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965521,1965521,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965521""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965562,1965562,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965562""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965563,1965563,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965563""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965564,1965564,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965564""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965565,1965565,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965565""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965516,1965516,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965516""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965566,1965566,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965566""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965517,1965517,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965517""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965567,1965567,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965567""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965518,1965518,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965518""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965519,1965519,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965519""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965401,1965401,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965401""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965455,1965455,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965455""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965402,1965402,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965402""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965456,1965456,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965456""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965403,1965403,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965403""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965458,1965458,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965458""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965459,1965459,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965459""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965460,1965460,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965460""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965457,1965457,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965457""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965398,1965398,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965398""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965399,1965399,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965399""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965400,1965400,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965400""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965153,1965153,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965153""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965196,1965196,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965196""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965154,1965154,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965154""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965197,1965197,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965197""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965155,1965155,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965155""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965198,1965198,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965198""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965301,1965301,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965301""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965156,1965156,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965156""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965271,1965271,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965271""]",[],[],exact,not_applicable
bart_live_20260911_161720,1965199,1965199,2026-09-11,exact,high,trip_id+canonical_service_date,"[""GTFS-RT trip_id equals static trips.txt trip_id"",""canonical service date""]","[""1965199""]",[],[],exact,not_applicable
