capture_id,service_date,service_kind,entity_id,trip_id,direction,station,pdf_station_column,stop_id,static_scheduled_time,pdf_time,pdf_row_id,pdf_page,pdf_schedule_seconds,gtfsrt_event_time,static_vs_pdf_seconds,gtfsrt_vs_pdf_seconds,late_night_pdf_row,match_method
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,19TH,19TH,K20-2,16:18:00,4:18 PM,3296,1,58680,2026-09-11T23:19:09+00:00,0,69,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,12TH,12TH,K10-2,16:20:00,4:20 PM,3296,1,58800,2026-09-11T23:21:09+00:00,0,69,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,WOAK,WOAK,M10-1,16:25:00,4:25 PM,3296,1,59100,2026-09-11T23:25:39+00:00,0,39,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,EMBR,EMBR,M16-1,16:32:00,4:32 PM,3296,1,59520,2026-09-11T23:32:39+00:00,0,39,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,MONT,MONT,M20-1,16:33:00,4:33 PM,3296,1,59580,2026-09-11T23:34:15+00:00,0,75,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,POWL,POWL,M30-1,16:35:00,4:35 PM,3296,1,59700,2026-09-11T23:35:57+00:00,0,57,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,CIVC,CIVC,M40-1,16:37:00,4:37 PM,3296,1,59820,2026-09-11T23:37:33+00:00,0,33,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,16TH,16TH,M50-1,16:39:00,4:39 PM,3296,1,59940,2026-09-11T23:39:51+00:00,0,51,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,24TH,24TH,M60-1,16:41:00,4:41 PM,3296,1,60060,2026-09-11T23:41:51+00:00,0,51,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,GLEN,GLEN,M70-1,16:44:00,4:44 PM,3296,1,60240,2026-09-11T23:44:39+00:00,0,39,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,BALB,BALB,M80-1,16:46:00,4:46 PM,3296,1,60360,2026-09-11T23:46:57+00:00,0,57,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,DALY,DALY,M90-1,16:50:00,4:50 PM,3296,1,60600,2026-09-11T23:51:24+00:00,0,84,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,COLM,COLM,W10-1,16:54:00,4:54 PM,3296,1,60840,2026-09-11T23:55:18+00:00,0,78,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,SSAN,SSAN,W20-1,16:57:00,4:57 PM,3296,1,61020,2026-09-11T23:58:18+00:00,0,78,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965153,1965153,S,SBRN,SBRN,W30-1,17:01:00,5:01 PM,3296,1,61260,2026-09-12T00:01:30+00:00,0,30,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965196,1965196,S,ROCK,ROCK,C10-2,16:19:00,4:19 PM,3348,1,58740,2026-09-11T23:21:00+00:00,0,120,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965196,1965196,S,MCAR,MCAR,K30-4,16:23:00,4:23 PM,3348,1,58980,2026-09-11T23:23:37+00:00,0,37,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965196,1965196,S,19TH,19TH,K20-2,16:27:00,4:27 PM,3348,1,59220,2026-09-11T23:27:25+00:00,0,25,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965196,1965196,S,12TH,12TH,K10-2,16:29:00,4:29 PM,3348,1,59340,2026-09-11T23:29:41+00:00,0,41,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965196,1965196,S,WOAK,WOAK,M10-1,16:33:00,4:33 PM,3348,1,59580,2026-09-11T23:34:11+00:00,0,71,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965196,1965196,S,EMBR,EMBR,M16-1,16:40:00,4:40 PM,3348,1,60000,2026-09-11T23:41:11+00:00,0,71,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965196,1965196,S,MONT,MONT,M20-1,16:42:00,4:42 PM,3348,1,60120,2026-09-11T23:42:47+00:00,0,47,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965196,1965196,S,POWL,POWL,M30-1,16:43:00,4:43 PM,3348,1,60180,2026-09-11T23:44:29+00:00,0,89,False,nearest_pdf_time_to_static_stop_time
bart_live_20260911_161720,2026-09-11,weekday,1965196,1965196,S,CIVC,CIVC,M40-1,16:45:00,4:45 PM,3348,1,60300,2026-09-11T23:46:05+00:00,0,65,False,nearest_pdf_time_to_static_stop_time
