capture_id,capture_directory,local_capture_timestamp,gtfs_rt_feed_timestamp,has_trip_updates,has_alerts,etd_station_count,gtfs_rt_trip_update_count,gtfs_rt_stop_time_update_count,alert_count,static_gtfs_version,request_time_samples,capture_feed_skew_seconds,etd_feed_skew_min_seconds,etd_feed_skew_max_seconds,etd_feed_skew_median_seconds,flags,strict_comparison_suitable
bart_live_20260911_161720,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_161720,2026-09-11T16:17:20-07:00,2026-09-11T23:17:20+00:00,True,True,49,82,1093,0,72,04:17:17 PM PDT|04:17:18 PM PDT|04:17:18 PM PDT,0.0,2.0,3.0,3.0,none,True
bart_live_20260911_185819,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260911_185819,2026-09-11T18:58:19-07:00,2026-09-12T01:58:19+00:00,True,True,49,82,964,2,72,06:58:03 PM PDT|06:58:17 PM PDT|06:58:17 PM PDT,0.0,2.0,16.0,2.0,none,True
bart_live_20260912_071554,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071554,2026-09-12T07:15:54-07:00,,False,False,0,0,0,0,72,,,,,,missing_gtfs_rt_trip_updates|missing_alerts|missing_etd_boards|incomplete_etd_station_set,False
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605,2026-09-12T07:16:05-07:00,2026-09-12T14:16:05+00:00,True,True,49,59,624,2,72,07:16:02 AM PDT|07:16:02 AM PDT|07:16:03 AM PDT,0.0,2.0,3.0,2.0,known_bus_bridge_or_major_disruption_context,False
bart_live_20260912_192803,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192803,2026-09-12T19:28:03-07:00,,False,False,0,0,0,0,72,,,,,,missing_gtfs_rt_trip_updates|missing_alerts|missing_etd_boards|incomplete_etd_station_set,False
bart_live_20260912_192815,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_192815,2026-09-12T19:28:15-07:00,2026-09-13T02:28:14+00:00,True,True,49,58,632,3,72,07:28:02 PM PDT|07:28:02 PM PDT|07:28:02 PM PDT,1.0,3.0,12.0,3.0,known_bus_bridge_or_major_disruption_context,False
bart_live_20260913_182420,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182420,2026-09-13T18:24:20-07:00,,False,False,0,0,0,0,72,,,,,,missing_gtfs_rt_trip_updates|missing_alerts|missing_etd_boards|incomplete_etd_station_set,False
bart_live_20260913_182435,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_182435,2026-09-13T18:24:35-07:00,2026-09-14T01:24:34+00:00,True,True,49,59,660,3,72,06:24:32 PM PDT|06:24:33 PM PDT|06:24:33 PM PDT,1.0,1.0,2.0,1.0,none,True
bart_live_20260913_201652,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260913_201652,2026-09-13T20:16:52-07:00,2026-09-14T03:16:52+00:00,True,True,49,59,584,3,72,08:16:47 PM PDT|08:16:47 PM PDT|08:16:47 PM PDT,0.0,4.0,10.0,4.0,none,True
bart_live_terminals_20260911_183436,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_terminals_20260911_183436,2026-09-11T18:34:36-07:00,2026-09-12T01:34:55+00:00,True,True,0,84,1056,2,72,,19.0,,,,missing_etd_boards|incomplete_etd_station_set,False
